Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.01,38,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,40,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,41,s,7,0.51,0.453,"rgb(255.0, 130.0, 130.0)"
0.01,43,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.01,44,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.01,46,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,47,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,48,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,49,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.01,50,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,51,s,16,0.76,0.719,"rgb(255.0, 194.0, 194.0)"
0.01,52,s,10,2.96,0.0108,"rgb(0.0, 0.0, 255.0)"
0.01,53,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.01,54,s,11,0.48,0.232,"rgb(255.0, 121.99999999999999, 121.99999999999999)"
0.01,55,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,56,s,16,19.02,1.04e-14,"rgb(0.0, 0.0, 255.0)"
0.01,57,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.01,58,s,10,0.54,0.392,"rgb(255.0, 138.0, 138.0)"
0.01,59,s,6,0.25,0.201,"rgb(255.0, 64.0, 64.0)"
0.01,60,s,8,2.11,0.0917,"rgb(0.0, 0.0, 255.0)"
0.01,61,s,10,0.32,0.106,"rgb(255.0, 80.0, 80.0)"
0.01,62,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,63,s,15,0.2,0.00437,"rgb(255.0, 50.0, 50.0)"
0.01,64,s,6,0.63,0.777,"rgb(255.0, 160.0, 160.0)"
0.01,65,s,7,0.21,0.102,"rgb(255.0, 52.0, 52.0)"
0.01,67,s,8,0.18,0.0519,"rgb(255.0, 46.0, 46.0)"
0.01,68,s,15,0.32,0.0324,"rgb(255.0, 80.0, 80.0)"
0.01,69,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,70,s,12,0.63,0.545,"rgb(255.0, 160.0, 160.0)"
0.01,71,s,7,0.51,0.453,"rgb(255.0, 130.0, 130.0)"
0.01,72,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.01,73,s,7,0.21,0.102,"rgb(255.0, 52.0, 52.0)"
0.01,74,s,8,0.42,0.349,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.01,75,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,76,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.01,77,s,7,1.69,0.308,"rgb(78.0, 78.0, 255.0)"
0.01,78,s,21,0.13,7.89e-05,"rgb(255.0, 32.0, 32.0)"
0.01,79,s,14,0.7,0.572,"rgb(255.0, 178.0, 178.0)"
0.01,80,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.01,81,s,11,0.48,0.232,"rgb(255.0, 121.99999999999999, 121.99999999999999)"
0.01,82,s,11,1.52,0.302,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.01,83,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.01,84,s,14,2.28,0.0197,"rgb(0.0, 0.0, 255.0)"
0.01,85,s,6,0.25,0.201,"rgb(255.0, 64.0, 64.0)"
0.01,86,s,5,0.32,0.389,"rgb(255.0, 80.0, 80.0)"
0.01,87,s,13,0.0,6.18e-05,"rgb(255.0, 0.0, 0.0)"
0.01,88,s,14,0.21,0.0084,"rgb(255.0, 52.0, 52.0)"
0.01,89,s,20,0.22,0.00147,"rgb(255.0, 56.0, 56.0)"
0.01,90,s,12,0.0,0.00013,"rgb(255.0, 0.0, 0.0)"
0.01,91,s,11,0.13,0.00657,"rgb(255.0, 32.0, 32.0)"
0.01,92,s,22,0.2,0.000407,"rgb(255.0, 50.0, 50.0)"
0.01,93,s,7,0.21,0.102,"rgb(255.0, 52.0, 52.0)"
0.01,94,s,16,0.58,0.304,"rgb(255.0, 147.99999999999997, 147.99999999999997)"
0.01,95,s,11,0.0,0.000445,"rgb(255.0, 0.0, 0.0)"
0.01,96,s,9,0.36,0.194,"rgb(255.0, 92.0, 92.0)"
0.01,97,s,25,0.11,5.17e-06,"rgb(255.0, 28.0, 28.0)"
0.01,98,s,19,0.24,0.00276,"rgb(255.0, 60.0, 60.0)"
0.01,99,s,24,0.18,0.000111,"rgb(255.0, 46.0, 46.0)"
0.02,1,s,88,0.92,0.693,"rgb(255.0, 234.0, 234.0)"
0.02,3,s,6,2.54,0.0757,"rgb(0.0, 0.0, 255.0)"
0.02,4,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.02,5,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.02,6,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.02,7,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.02,8,s,8,1.27,0.565,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,9,s,3,2.54,0.187,"rgb(0.0, 0.0, 255.0)"
0.02,10,s,4,0.42,0.737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.02,12,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.02,13,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,14,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.02,15,s,9,0.16,0.0262,"rgb(255.0, 40.0, 40.0)"
0.02,16,s,9,1.58,0.254,"rgb(105.99999999999999, 105.99999999999999, 255.0)"
0.02,17,s,5,0.85,1.0,"rgb(255.0, 216.0, 216.0)"
0.02,18,s,6,0.25,0.201,"rgb(255.0, 64.0, 64.0)"
0.02,19,s,11,1.52,0.302,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.02,20,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,21,s,13,0.56,0.344,"rgb(255.0, 142.0, 142.0)"
0.02,22,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.02,23,s,10,0.32,0.106,"rgb(255.0, 80.0, 80.0)"
0.02,24,s,9,0.16,0.0262,"rgb(255.0, 40.0, 40.0)"
0.02,26,s,10,0.0,0.000925,"rgb(255.0, 0.0, 0.0)"
0.02,27,s,11,0.13,0.00657,"rgb(255.0, 32.0, 32.0)"
0.02,28,s,12,0.25,0.0304,"rgb(255.0, 64.0, 64.0)"
0.02,29,s,16,1.27,0.425,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,30,s,9,0.0,0.00193,"rgb(255.0, 0.0, 0.0)"
0.02,31,s,4,0.42,0.737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.02,32,s,12,0.0,0.00013,"rgb(255.0, 0.0, 0.0)"
0.02,33,s,12,1.77,0.124,"rgb(57.99999999999999, 57.99999999999999, 255.0)"
0.02,34,s,9,0.16,0.0262,"rgb(255.0, 40.0, 40.0)"
0.02,35,s,16,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.02,36,s,8,0.76,1.0,"rgb(255.0, 194.0, 194.0)"
0.02,37,s,13,0.56,0.344,"rgb(255.0, 142.0, 142.0)"
0.02,38,s,13,2.85,0.00523,"rgb(0.0, 0.0, 255.0)"
0.02,39,s,4,0.42,0.737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.02,40,s,9,0.63,0.642,"rgb(255.0, 160.0, 160.0)"
0.02,41,s,14,0.51,0.21,"rgb(255.0, 130.0, 130.0)"
0.02,42,s,24,6.34,1.96e-10,"rgb(0.0, 0.0, 255.0)"
0.02,43,s,9,0.63,0.642,"rgb(255.0, 160.0, 160.0)"
0.02,44,s,13,0.38,0.104,"rgb(255.0, 96.0, 96.0)"
0.02,46,s,11,0.48,0.232,"rgb(255.0, 121.99999999999999, 121.99999999999999)"
0.02,47,s,13,0.38,0.104,"rgb(255.0, 96.0, 96.0)"
0.02,48,s,8,0.18,0.0519,"rgb(255.0, 46.0, 46.0)"
0.02,49,s,11,0.28,0.0572,"rgb(255.0, 70.0, 70.0)"
0.02,50,s,16,0.0,6.73e-06,"rgb(255.0, 0.0, 0.0)"
0.02,51,s,22,0.59,0.189,"rgb(255.0, 150.0, 150.0)"
0.02,52,s,16,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.02,53,s,10,0.85,1.0,"rgb(255.0, 216.0, 216.0)"
0.02,54,s,25,0.49,0.0611,"rgb(255.0, 124.0, 124.0)"
0.02,55,s,16,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.02,56,s,27,1.84,0.0244,"rgb(40.0, 40.0, 255.0)"
0.02,57,s,32,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.02,58,s,40,2.11,0.000655,"rgb(0.0, 0.0, 255.0)"
0.02,59,s,36,2.88,4.68e-06,"rgb(0.0, 0.0, 255.0)"
0.02,60,s,6,1.27,0.515,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,61,s,24,0.52,0.0983,"rgb(255.0, 131.99999999999997, 131.99999999999997)"
0.02,62,s,14,1.69,0.157,"rgb(78.0, 78.0, 255.0)"
0.02,63,s,28,0.35,0.00358,"rgb(255.0, 88.0, 88.0)"
0.02,64,s,26,1.27,0.348,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,65,s,13,0.23,0.016,"rgb(255.0, 58.0, 58.0)"
0.02,67,s,28,1.27,0.363,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.02,68,s,19,0.24,0.00276,"rgb(255.0, 60.0, 60.0)"
0.02,69,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.02,70,s,17,0.69,0.494,"rgb(255.0, 176.0, 176.0)"
0.02,71,s,10,0.54,0.392,"rgb(255.0, 138.0, 138.0)"
0.02,72,s,7,0.0,0.00859,"rgb(255.0, 0.0, 0.0)"
0.02,73,s,22,0.06,1.88e-06,"rgb(255.0, 14.0, 14.0)"
0.02,74,s,22,0.13,4e-05,"rgb(255.0, 32.0, 32.0)"
0.02,75,s,23,0.98,1.0,"rgb(255.0, 250.0, 250.0)"
0.02,76,s,22,2.22,0.00737,"rgb(0.0, 0.0, 255.0)"
0.02,77,s,13,0.56,0.344,"rgb(255.0, 142.0, 142.0)"
0.02,78,s,42,0.21,7.64e-07,"rgb(255.0, 52.0, 52.0)"
0.02,79,s,20,0.68,0.431,"rgb(255.0, 174.0, 174.0)"
0.02,80,s,15,0.09,0.000402,"rgb(255.0, 22.0, 22.0)"
0.02,81,s,18,0.49,0.116,"rgb(255.0, 124.0, 124.0)"
0.02,82,s,9,2.54,0.0337,"rgb(0.0, 0.0, 255.0)"
0.02,83,s,22,0.13,4e-05,"rgb(255.0, 32.0, 32.0)"
0.02,84,s,23,2.38,0.00225,"rgb(0.0, 0.0, 255.0)"
0.02,85,s,14,0.51,0.21,"rgb(255.0, 130.0, 130.0)"
0.02,86,s,12,0.12,0.00328,"rgb(255.0, 30.0, 30.0)"
0.02,87,s,20,0.0,2.27e-07,"rgb(255.0, 0.0, 0.0)"
0.02,88,s,24,0.25,0.000925,"rgb(255.0, 64.0, 64.0)"
0.02,89,s,37,0.2,2.1e-06,"rgb(255.0, 50.0, 50.0)"
0.02,90,s,27,1.18,0.544,"rgb(208.0, 208.0, 255.0)"
0.02,91,s,22,0.37,0.0188,"rgb(255.0, 94.0, 94.0)"
0.02,92,s,26,0.17,2.97e-05,"rgb(255.0, 42.0, 42.0)"
0.02,93,s,20,0.07,1.21e-05,"rgb(255.0, 16.0, 16.0)"
0.02,94,s,27,0.63,0.229,"rgb(255.0, 160.0, 160.0)"
0.02,95,s,16,0.42,0.0737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.02,96,s,15,0.85,0.851,"rgb(255.0, 216.0, 216.0)"
0.02,97,s,30,0.2,2.09e-05,"rgb(255.0, 50.0, 50.0)"
0.02,98,s,26,0.3,0.00189,"rgb(255.0, 76.0, 76.0)"
0.02,99,s,34,0.12,1.4e-07,"rgb(255.0, 30.0, 30.0)"
0.03,1,s,90,0.89,0.535,"rgb(255.0, 226.0, 226.0)"
0.03,3,s,6,2.54,0.0757,"rgb(0.0, 0.0, 255.0)"
0.03,4,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.03,5,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.03,6,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.03,7,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.03,8,s,8,1.27,0.565,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,9,s,3,2.54,0.187,"rgb(0.0, 0.0, 255.0)"
0.03,10,s,4,0.42,0.737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.03,12,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.03,13,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,14,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.03,15,s,9,0.16,0.0262,"rgb(255.0, 40.0, 40.0)"
0.03,16,s,9,1.58,0.254,"rgb(105.99999999999999, 105.99999999999999, 255.0)"
0.03,17,s,5,0.85,1.0,"rgb(255.0, 216.0, 216.0)"
0.03,18,s,6,0.25,0.201,"rgb(255.0, 64.0, 64.0)"
0.03,19,s,11,1.52,0.302,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.03,20,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,21,s,13,0.56,0.344,"rgb(255.0, 142.0, 142.0)"
0.03,22,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.03,23,s,10,0.32,0.106,"rgb(255.0, 80.0, 80.0)"
0.03,24,s,9,0.16,0.0262,"rgb(255.0, 40.0, 40.0)"
0.03,26,s,10,0.0,0.000925,"rgb(255.0, 0.0, 0.0)"
0.03,27,s,11,0.13,0.00657,"rgb(255.0, 32.0, 32.0)"
0.03,28,s,12,0.25,0.0304,"rgb(255.0, 64.0, 64.0)"
0.03,29,s,16,1.27,0.425,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,30,s,9,0.0,0.00193,"rgb(255.0, 0.0, 0.0)"
0.03,31,s,4,0.42,0.737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.03,32,s,12,0.0,0.00013,"rgb(255.0, 0.0, 0.0)"
0.03,33,s,12,1.77,0.124,"rgb(57.99999999999999, 57.99999999999999, 255.0)"
0.03,34,s,9,0.16,0.0262,"rgb(255.0, 40.0, 40.0)"
0.03,35,s,16,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.03,36,s,8,0.76,1.0,"rgb(255.0, 194.0, 194.0)"
0.03,37,s,13,0.56,0.344,"rgb(255.0, 142.0, 142.0)"
0.03,38,s,13,2.85,0.00523,"rgb(0.0, 0.0, 255.0)"
0.03,39,s,4,0.42,0.737,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.03,40,s,9,0.63,0.642,"rgb(255.0, 160.0, 160.0)"
0.03,41,s,14,0.51,0.21,"rgb(255.0, 130.0, 130.0)"
0.03,42,s,24,6.34,1.96e-10,"rgb(0.0, 0.0, 255.0)"
0.03,43,s,9,0.63,0.642,"rgb(255.0, 160.0, 160.0)"
0.03,44,s,13,0.38,0.104,"rgb(255.0, 96.0, 96.0)"
0.03,46,s,11,0.48,0.232,"rgb(255.0, 121.99999999999999, 121.99999999999999)"
