Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
70,0.03,2,13,15,0.2,0.00437
71,0.03,2,15,17,0.17,0.00116
72,0.03,8,13,21,0.78,0.637
73,0.03,8,30,38,0.34,0.000412
74,0.03,8,13,21,0.78,0.637
75,0.03,19,13,32,1.85,0.0114
76,0.03,4,19,23,0.27,0.00171
77,0.03,2,22,24,0.12,1.02e-05
78,0.03,3,23,26,0.17,2.97e-05
79,0.03,1,17,18,0.07,4.9e-05
80,0.03,8,16,24,0.63,0.257
81,0.03,4,13,17,0.39,0.0577
82,0.03,6,13,19,0.59,0.212
83,0.03,10,17,27,0.75,0.413
84,0.03,13,20,33,0.82,0.613
85,0.03,1,23,24,0.06,4.49e-07
86,0.03,2,8,10,0.32,0.106
87,0.03,6,24,30,0.32,0.00114
88,0.03,7,22,29,0.4,0.00797
89,0.03,16,26,42,0.78,0.376
90,0.03,4,14,18,0.36,0.033
91,0.03,6,42,48,0.18,1.64e-08
92,0.03,9,20,29,0.57,0.0998
93,0.03,2,10,12,0.25,0.0304
94,0.03,7,19,26,0.47,0.0374
95,0.03,7,17,24,0.52,0.0983
96,0.03,3,13,16,0.29,0.0177
97,0.03,3,35,38,0.11,9.34e-09
98,0.03,15,26,41,0.73,0.268
99,0.03,2,33,35,0.08,3.3e-09
100,0.03,11,18,29,0.77,0.505
2,0.04,0,0,0,,
4,0.04,0,7,7,0.0,0.00859
5,0.04,7,11,18,0.81,0.733
6,0.04,7,9,16,0.99,1.0
7,0.04,6,13,19,0.59,0.212
8,0.04,8,13,21,0.78,0.637
9,0.04,5,8,13,0.79,0.841
10,0.04,5,8,13,0.79,0.841
11,0.04,4,15,19,0.34,0.0186
13,0.04,5,10,15,0.63,0.375
14,0.04,3,19,22,0.2,0.000407
15,0.04,14,23,37,0.77,0.409
16,0.04,7,12,19,0.74,0.517
17,0.04,10,16,26,0.79,0.572
18,0.04,6,21,27,0.36,0.00627
19,0.04,19,18,37,1.34,0.185
20,0.04,19,30,49,0.8,0.409
21,0.04,5,35,40,0.18,3.04e-07
22,0.04,14,20,34,0.89,0.8
23,0.04,17,21,38,1.03,0.902
24,0.04,15,21,36,0.91,0.806
25,0.04,7,30,37,0.3,0.000121
27,0.04,14,29,43,0.61,0.0738
28,0.04,15,26,41,0.73,0.268
29,0.04,6,41,47,0.19,3.14e-08
30,0.04,6,21,27,0.36,0.00627
31,0.04,15,29,44,0.66,0.115
32,0.04,38,47,85,1.03,0.869
33,0.04,21,34,55,0.78,0.288
34,0.04,25,37,62,0.86,0.516
35,0.04,6,36,42,0.21,7.64e-07
36,0.04,10,32,42,0.4,0.000947
37,0.04,15,31,46,0.61,0.0542
38,0.04,23,28,51,1.04,0.831
39,0.04,30,43,73,0.88,0.605
40,0.04,17,41,58,0.53,0.00469
41,0.04,35,46,81,0.96,0.934
42,0.04,14,29,43,0.61,0.0738
43,0.04,13,27,40,0.61,0.0813
44,0.04,24,39,63,0.78,0.278
45,0.04,4,37,41,0.14,1.5e-08
47,0.04,27,48,75,0.71,0.0868
48,0.04,25,28,53,1.13,0.522
49,0.04,38,56,94,0.86,0.407
50,0.04,16,30,46,0.68,0.123
51,0.04,16,42,58,0.48,0.00164
52,0.04,20,36,56,0.7,0.132
53,0.04,24,49,73,0.62,0.0155
