Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
73,0.03,1,21,22,0.06,1.88e-06
74,0.03,2,20,22,0.13,4e-05
75,0.03,10,13,23,0.98,1.0
76,0.03,14,8,22,2.22,0.00737
77,0.03,4,9,13,0.56,0.344
78,0.03,6,36,42,0.21,7.64e-07
79,0.03,7,13,20,0.68,0.431
80,0.03,1,14,15,0.09,0.000402
81,0.03,5,13,18,0.49,0.116
82,0.03,6,3,9,2.54,0.0337
83,0.03,2,20,22,0.13,4e-05
84,0.03,15,8,23,2.38,0.00225
85,0.03,4,10,14,0.51,0.21
86,0.03,1,11,12,0.12,0.00328
87,0.03,0,20,20,0.0,2.27e-07
88,0.03,4,20,24,0.25,0.000925
89,0.03,5,32,37,0.2,2.1e-06
90,0.03,13,14,27,1.18,0.544
91,0.03,5,17,22,0.37,0.0188
92,0.03,3,23,26,0.17,2.97e-05
93,0.03,1,19,20,0.07,1.21e-05
94,0.03,9,18,27,0.63,0.229
95,0.03,4,12,16,0.42,0.0737
96,0.03,6,9,15,0.85,0.851
97,0.03,4,26,30,0.2,2.09e-05
98,0.03,5,21,26,0.3,0.00189
99,0.03,3,31,34,0.12,1.4e-07
1,0.04,128,155,283,1.05,0.587
3,0.04,28,18,46,1.97,0.00118
4,0.04,7,11,18,0.81,0.733
5,0.04,6,12,18,0.63,0.328
6,0.04,12,13,25,1.17,0.531
7,0.04,6,8,14,0.95,1.0
8,0.04,10,11,21,1.15,0.608
9,0.04,9,15,24,0.76,0.558
10,0.04,7,12,19,0.74,0.517
12,0.04,6,25,31,0.3,0.000637
13,0.04,8,9,17,1.13,0.704
14,0.04,15,10,25,1.9,0.0188
15,0.04,3,17,20,0.22,0.00147
16,0.04,8,23,31,0.44,0.0131
17,0.04,12,19,31,0.8,0.519
18,0.04,2,19,21,0.13,7.89e-05
19,0.04,13,18,31,0.92,0.894
20,0.04,7,18,25,0.49,0.0611
21,0.04,16,27,43,0.75,0.327
22,0.04,10,24,34,0.53,0.0377
23,0.04,8,36,44,0.28,1.28e-05
